1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1900000069B62741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:20:01 PDT 2020
Mission Sample Count:  2588
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Fri Apr 10 17:20:01 PDT 2020
Total Mission Samples:  2588
Total Device Samples:  9102
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/10/20 5:20:01 PM,%RH,96.661
4/10/20 6:20:01 PM,%RH,95.428
4/10/20 7:20:01 PM,%RH,97.368
4/10/20 8:20:01 PM,%RH,97.363
4/10/20 9:20:01 PM,%RH,97.865
4/10/20 10:20:01 PM,%RH,97.865
4/10/20 11:20:01 PM,%RH,96.859
4/11/20 12:20:01 AM,%RH,98.367
4/11/20 1:20:01 AM,%RH,97.867
4/11/20 2:20:01 AM,%RH,97.871
4/11/20 3:20:01 AM,%RH,96.87
4/11/20 4:20:01 AM,%RH,96.413
4/11/20 5:20:01 AM,%RH,96.249
4/11/20 6:20:01 AM,%RH,95.757
4/11/20 7:20:01 AM,%RH,96.171
4/11/20 8:20:01 AM,%RH,96.739
4/11/20 9:20:01 AM,%RH,97.871
4/11/20 10:20:01 AM,%RH,97.373
4/11/20 11:20:01 AM,%RH,96.939
4/11/20 12:20:01 PM,%RH,97.038
4/11/20 1:20:01 PM,%RH,98.136
4/11/20 2:20:01 PM,%RH,96.212
4/11/20 3:20:01 PM,%RH,97.305
4/11/20 4:20:01 PM,%RH,96.349
4/11/20 5:20:01 PM,%RH,97.305
4/11/20 6:20:01 PM,%RH,95.751
4/11/20 7:20:01 PM,%RH,95.122
4/11/20 8:20:01 PM,%RH,95.021
4/11/20 9:20:01 PM,%RH,94.941
4/11/20 10:20:01 PM,%RH,93.861
4/11/20 11:20:01 PM,%RH,93.32
4/12/20 12:20:01 AM,%RH,93.822
4/12/20 1:20:01 AM,%RH,91.749
4/12/20 2:20:01 AM,%RH,91.221
4/12/20 3:20:01 AM,%RH,90.699
4/12/20 4:20:01 AM,%RH,90.169
4/12/20 5:20:01 AM,%RH,89.111
4/12/20 6:20:01 AM,%RH,88.05
4/12/20 7:20:01 AM,%RH,87.514
4/12/20 8:20:01 AM,%RH,85.911
4/12/20 9:20:01 AM,%RH,85.372
4/12/20 10:20:01 AM,%RH,84.831
4/12/20 11:20:01 AM,%RH,84.283
4/12/20 12:20:01 PM,%RH,83.745
4/12/20 1:20:01 PM,%RH,82.653
4/12/20 2:20:01 PM,%RH,82.653
4/12/20 3:20:01 PM,%RH,82.104
4/12/20 4:20:01 PM,%RH,80.44
4/12/20 5:20:01 PM,%RH,80.44
4/12/20 6:20:01 PM,%RH,80.44
4/12/20 7:20:01 PM,%RH,79.885
4/12/20 8:20:01 PM,%RH,79.877
4/12/20 9:20:01 PM,%RH,79.328
4/12/20 10:20:01 PM,%RH,79.328
4/12/20 11:20:01 PM,%RH,79.328
4/13/20 12:20:01 AM,%RH,78.761
4/13/20 1:20:01 AM,%RH,77.721
4/13/20 2:20:01 AM,%RH,77.721
4/13/20 3:20:01 AM,%RH,77.092
4/13/20 4:20:01 AM,%RH,76.542
4/13/20 5:20:01 AM,%RH,77.092
4/13/20 6:20:01 AM,%RH,76.542
4/13/20 7:20:01 AM,%RH,75.912
4/13/20 8:20:01 AM,%RH,77.64
4/13/20 9:20:01 AM,%RH,79.338
4/13/20 10:20:01 AM,%RH,79.951
4/13/20 11:20:01 AM,%RH,81.644
4/13/20 12:20:01 PM,%RH,81.094
4/13/20 1:20:01 PM,%RH,81.116
4/13/20 2:20:01 PM,%RH,80.013
4/13/20 3:20:01 PM,%RH,80.013
4/13/20 4:20:01 PM,%RH,79.459
4/13/20 5:20:01 PM,%RH,78.323
4/13/20 6:20:01 PM,%RH,77.741
4/13/20 7:20:01 PM,%RH,77.16
4/13/20 8:20:01 PM,%RH,77.124
4/13/20 9:20:01 PM,%RH,77.096
4/13/20 10:20:01 PM,%RH,76.509
4/13/20 11:20:01 PM,%RH,74.964
4/14/20 12:20:01 AM,%RH,74.408
4/14/20 1:20:01 AM,%RH,74.327
4/14/20 2:20:01 AM,%RH,74.249
4/14/20 3:20:01 AM,%RH,74.249
4/14/20 4:20:01 AM,%RH,73.614
4/14/20 5:20:01 AM,%RH,74.097
4/14/20 6:20:01 AM,%RH,73.539
4/14/20 7:20:01 AM,%RH,74.579
4/14/20 8:20:01 AM,%RH,74.097
4/14/20 9:20:01 AM,%RH,76.071
4/14/20 10:20:01 AM,%RH,78.263
4/14/20 11:20:01 AM,%RH,79.484
4/14/20 12:20:01 PM,%RH,79.636
4/14/20 1:20:01 PM,%RH,79.792
4/14/20 2:20:01 PM,%RH,76.403
4/14/20 3:20:01 PM,%RH,71.509
4/14/20 4:20:01 PM,%RH,68.182
4/14/20 5:20:01 PM,%RH,67.007
4/14/20 6:20:01 PM,%RH,68.127
4/14/20 7:20:01 PM,%RH,67.386
4/14/20 8:20:01 PM,%RH,66.066
4/14/20 9:20:01 PM,%RH,66.527
4/14/20 10:20:01 PM,%RH,65.858
4/14/20 11:20:01 PM,%RH,66.376
4/15/20 12:20:01 AM,%RH,66.308
4/15/20 1:20:01 AM,%RH,67.457
4/15/20 2:20:01 AM,%RH,67.399
4/15/20 3:20:01 AM,%RH,67.373
4/15/20 4:20:01 AM,%RH,67.914
4/15/20 5:20:01 AM,%RH,67.892
4/15/20 6:20:01 AM,%RH,67.892
4/15/20 7:20:01 AM,%RH,69.047
4/15/20 8:20:01 AM,%RH,69.651
4/15/20 9:20:01 AM,%RH,70.35
4/15/20 10:20:01 AM,%RH,72.235
4/15/20 11:20:01 AM,%RH,72.47
4/15/20 12:20:01 PM,%RH,71.509
4/15/20 1:20:01 PM,%RH,69.407
4/15/20 2:20:01 PM,%RH,64.274
4/15/20 3:20:01 PM,%RH,57.731
4/15/20 4:20:01 PM,%RH,57.115
4/15/20 5:20:01 PM,%RH,58.896
4/15/20 6:20:01 PM,%RH,59.329
4/15/20 7:20:01 PM,%RH,58.551
4/15/20 8:20:01 PM,%RH,58.956
4/15/20 9:20:01 PM,%RH,58.815
4/15/20 10:20:01 PM,%RH,58.073
4/15/20 11:20:01 PM,%RH,58.564
4/16/20 12:20:01 AM,%RH,59.71
4/16/20 1:20:01 AM,%RH,60.251
4/16/20 2:20:01 AM,%RH,60.826
4/16/20 3:20:01 AM,%RH,61.373
4/16/20 4:20:01 AM,%RH,61.95
4/16/20 5:20:01 AM,%RH,62.504
4/16/20 6:20:01 AM,%RH,62.482
4/16/20 7:20:01 AM,%RH,63.085
4/16/20 8:20:01 AM,%RH,64.287
4/16/20 9:20:01 AM,%RH,65.524
4/16/20 10:20:01 AM,%RH,67.937
4/16/20 11:20:01 AM,%RH,69.214
4/16/20 12:20:01 PM,%RH,64.671
4/16/20 1:20:01 PM,%RH,59.615
4/16/20 2:20:01 PM,%RH,59.38
4/16/20 3:20:01 PM,%RH,60.509
4/16/20 4:20:01 PM,%RH,61.073
4/16/20 5:20:01 PM,%RH,62.24
4/16/20 6:20:01 PM,%RH,61.638
4/16/20 7:20:01 PM,%RH,62.24
4/16/20 8:20:01 PM,%RH,61.638
4/16/20 9:20:01 PM,%RH,61.638
4/16/20 10:20:01 PM,%RH,62.24
4/16/20 11:20:01 PM,%RH,61.638
4/17/20 12:20:01 AM,%RH,61.638
4/17/20 1:20:01 AM,%RH,61.6
4/17/20 2:20:01 AM,%RH,62.203
4/17/20 3:20:01 AM,%RH,63.367
4/17/20 4:20:01 AM,%RH,62.768
4/17/20 5:20:01 AM,%RH,62.768
4/17/20 6:20:01 AM,%RH,62.733
4/17/20 7:20:01 AM,%RH,62.733
4/17/20 8:20:01 AM,%RH,63.333
4/17/20 9:20:01 AM,%RH,64.496
4/17/20 10:20:01 AM,%RH,63.3
4/17/20 11:20:01 AM,%RH,71.365
4/17/20 12:20:01 PM,%RH,76.02
4/17/20 1:20:01 PM,%RH,33.28
4/17/20 2:20:01 PM,%RH,33.002
4/17/20 3:20:01 PM,%RH,34.293
4/17/20 4:20:01 PM,%RH,43.67
4/17/20 5:20:01 PM,%RH,55.27
4/17/20 6:20:01 PM,%RH,69.823
4/17/20 7:20:01 PM,%RH,87.379
4/17/20 8:20:01 PM,%RH,90.456
4/17/20 9:20:01 PM,%RH,91.974
4/17/20 10:20:01 PM,%RH,91.905
4/17/20 11:20:01 PM,%RH,92.407
4/18/20 12:20:01 AM,%RH,93.408
4/18/20 1:20:01 AM,%RH,96.373
4/18/20 2:20:01 AM,%RH,97.282
4/18/20 3:20:01 AM,%RH,97.282
4/18/20 4:20:01 AM,%RH,97.282
4/18/20 5:20:01 AM,%RH,98.734
4/18/20 6:20:01 AM,%RH,98.252
4/18/20 7:20:01 AM,%RH,94.966
4/18/20 8:20:01 AM,%RH,83.193
4/18/20 9:20:01 AM,%RH,65.123
4/18/20 10:20:01 AM,%RH,66.783
4/18/20 11:20:01 AM,%RH,60.89
4/18/20 12:20:01 PM,%RH,53.707
4/18/20 1:20:01 PM,%RH,57.418
4/18/20 2:20:01 PM,%RH,62.668
4/18/20 3:20:01 PM,%RH,60.857
4/18/20 4:20:01 PM,%RH,69.067
4/18/20 5:20:01 PM,%RH,72.52
4/18/20 6:20:01 PM,%RH,76.623
4/18/20 7:20:01 PM,%RH,85.891
4/18/20 8:20:01 PM,%RH,94.211
4/18/20 9:20:01 PM,%RH,99.032
4/18/20 10:20:01 PM,%RH,94.897
4/18/20 11:20:01 PM,%RH,94.831
4/19/20 12:20:01 AM,%RH,94.403
4/19/20 1:20:01 AM,%RH,95.816
4/19/20 2:20:01 AM,%RH,97.219
4/19/20 3:20:01 AM,%RH,98.977
4/19/20 4:20:01 AM,%RH,99.99
4/19/20 5:20:01 AM,%RH,100.109
4/19/20 6:20:01 AM,%RH,99.258
4/19/20 7:20:01 AM,%RH,99.76
4/19/20 8:20:01 AM,%RH,74.273
4/19/20 9:20:01 AM,%RH,49.683
4/19/20 10:20:01 AM,%RH,38.238
4/19/20 11:20:01 AM,%RH,28.219
4/19/20 12:20:01 PM,%RH,29.481
4/19/20 1:20:01 PM,%RH,31.417
4/19/20 2:20:01 PM,%RH,33.841
4/19/20 3:20:01 PM,%RH,42.62
4/19/20 4:20:01 PM,%RH,45.109
4/19/20 5:20:01 PM,%RH,64.977
4/19/20 6:20:01 PM,%RH,78.107
4/19/20 7:20:01 PM,%RH,87.451
4/19/20 8:20:01 PM,%RH,92.842
4/19/20 9:20:01 PM,%RH,92.476
4/19/20 10:20:01 PM,%RH,92.476
4/19/20 11:20:01 PM,%RH,94.403
4/20/20 12:20:01 AM,%RH,98.013
4/20/20 1:20:01 AM,%RH,100.307
4/20/20 2:20:01 AM,%RH,98.671
4/20/20 3:20:01 AM,%RH,100.172
4/20/20 4:20:01 AM,%RH,99.76
4/20/20 5:20:01 AM,%RH,99.57
4/20/20 6:20:01 AM,%RH,100.048
4/20/20 7:20:01 AM,%RH,96.095
4/20/20 8:20:01 AM,%RH,74.375
4/20/20 9:20:01 AM,%RH,40.982
4/20/20 10:20:01 AM,%RH,36.522
4/20/20 11:20:01 AM,%RH,34.303
4/20/20 12:20:01 PM,%RH,33.337
4/20/20 1:20:01 PM,%RH,39.724
4/20/20 2:20:01 PM,%RH,56.147
4/20/20 3:20:01 PM,%RH,59.137
4/20/20 4:20:01 PM,%RH,60.96
4/20/20 5:20:01 PM,%RH,66.81
4/20/20 6:20:01 PM,%RH,79.32
4/20/20 7:20:01 PM,%RH,86.639
4/20/20 8:20:01 PM,%RH,93.906
4/20/20 9:20:01 PM,%RH,99.152
4/20/20 10:20:01 PM,%RH,99.352
4/20/20 11:20:01 PM,%RH,99.783
4/21/20 12:20:01 AM,%RH,102.107
4/21/20 1:20:01 AM,%RH,102.065
4/21/20 2:20:01 AM,%RH,101.209
4/21/20 3:20:01 AM,%RH,101.554
4/21/20 4:20:01 AM,%RH,102.025
4/21/20 5:20:01 AM,%RH,102.025
4/21/20 6:20:01 AM,%RH,102.458
4/21/20 7:20:01 AM,%RH,99.828
4/21/20 8:20:01 AM,%RH,75.056
4/21/20 9:20:01 AM,%RH,32.326
4/21/20 10:20:01 AM,%RH,28.05
4/21/20 11:20:01 AM,%RH,25.393
4/21/20 12:20:01 PM,%RH,25.227
4/21/20 1:20:01 PM,%RH,24.696
4/21/20 2:20:01 PM,%RH,24.053
4/21/20 3:20:01 PM,%RH,20.59
4/21/20 4:20:01 PM,%RH,26.394
4/21/20 5:20:01 PM,%RH,38.855
4/21/20 6:20:01 PM,%RH,43.875
4/21/20 7:20:01 PM,%RH,52.045
4/21/20 8:20:01 PM,%RH,53.869
4/21/20 9:20:01 PM,%RH,51.35
4/21/20 10:20:01 PM,%RH,46.848
4/21/20 11:20:01 PM,%RH,68.877
4/22/20 12:20:01 AM,%RH,80.129
4/22/20 1:20:01 AM,%RH,74.302
4/22/20 2:20:01 AM,%RH,82.861
4/22/20 3:20:01 AM,%RH,65.463
4/22/20 4:20:01 AM,%RH,60.053
4/22/20 5:20:01 AM,%RH,77.193
4/22/20 6:20:01 AM,%RH,92.992
4/22/20 7:20:01 AM,%RH,76.519
4/22/20 8:20:01 AM,%RH,35.687
4/22/20 9:20:01 AM,%RH,25.728
4/22/20 10:20:01 AM,%RH,21.662
4/22/20 11:20:01 AM,%RH,21.157
4/22/20 12:20:01 PM,%RH,18.362
4/22/20 1:20:01 PM,%RH,15.613
4/22/20 2:20:01 PM,%RH,16.968
4/22/20 3:20:01 PM,%RH,20.092
4/22/20 4:20:01 PM,%RH,25.866
4/22/20 5:20:01 PM,%RH,35.211
4/22/20 6:20:01 PM,%RH,35.011
4/22/20 7:20:01 PM,%RH,30.817
4/22/20 8:20:01 PM,%RH,39.291
4/22/20 9:20:01 PM,%RH,55.787
4/22/20 10:20:01 PM,%RH,63.312
4/22/20 11:20:01 PM,%RH,68.452
4/23/20 12:20:01 AM,%RH,75.686
4/23/20 1:20:01 AM,%RH,61.855
4/23/20 2:20:01 AM,%RH,49.617
4/23/20 3:20:01 AM,%RH,54.025
4/23/20 4:20:01 AM,%RH,70.959
4/23/20 5:20:01 AM,%RH,74.805
4/23/20 6:20:01 AM,%RH,77.013
4/23/20 7:20:01 AM,%RH,63.931
4/23/20 8:20:01 AM,%RH,30.052
4/23/20 9:20:01 AM,%RH,27.006
4/23/20 10:20:01 AM,%RH,19.34
4/23/20 11:20:01 AM,%RH,21.391
4/23/20 12:20:01 PM,%RH,21.015
4/23/20 1:20:01 PM,%RH,22.923
4/23/20 2:20:01 PM,%RH,23.848
4/23/20 3:20:01 PM,%RH,28.625
4/23/20 4:20:01 PM,%RH,24.586
4/23/20 5:20:01 PM,%RH,31.224
4/23/20 6:20:01 PM,%RH,37.674
4/23/20 7:20:01 PM,%RH,31.545
4/23/20 8:20:01 PM,%RH,33.377
4/23/20 9:20:01 PM,%RH,30.717
4/23/20 10:20:01 PM,%RH,37.922
4/23/20 11:20:01 PM,%RH,32.026
4/24/20 12:20:01 AM,%RH,24.585
4/24/20 1:20:01 AM,%RH,48.908
4/24/20 2:20:01 AM,%RH,36.773
4/24/20 3:20:01 AM,%RH,50.781
4/24/20 4:20:01 AM,%RH,50.814
4/24/20 5:20:01 AM,%RH,50.814
4/24/20 6:20:01 AM,%RH,65.298
4/24/20 7:20:01 AM,%RH,52.414
4/24/20 8:20:01 AM,%RH,35.742
4/24/20 9:20:01 AM,%RH,26.95
4/24/20 10:20:01 AM,%RH,22.271
4/24/20 11:20:01 AM,%RH,19.444
4/24/20 12:20:01 PM,%RH,20.061
4/24/20 1:20:01 PM,%RH,22.047
4/24/20 2:20:01 PM,%RH,17.216
4/24/20 3:20:01 PM,%RH,19.381
4/24/20 4:20:01 PM,%RH,28.05
4/24/20 5:20:01 PM,%RH,27.501
4/24/20 6:20:01 PM,%RH,28.605
4/24/20 7:20:01 PM,%RH,36.395
4/24/20 8:20:01 PM,%RH,45.252
4/24/20 9:20:01 PM,%RH,39.515
4/24/20 10:20:01 PM,%RH,80.125
4/24/20 11:20:01 PM,%RH,71.933
4/25/20 12:20:01 AM,%RH,76.237
4/25/20 1:20:01 AM,%RH,71.784
4/25/20 2:20:01 AM,%RH,87.572
4/25/20 3:20:01 AM,%RH,88.601
4/25/20 4:20:01 AM,%RH,83.516
4/25/20 5:20:01 AM,%RH,92.992
4/25/20 6:20:01 AM,%RH,81.923
4/25/20 7:20:01 AM,%RH,65.524
4/25/20 8:20:01 AM,%RH,35.018
4/25/20 9:20:01 AM,%RH,27.757
4/25/20 10:20:01 AM,%RH,20.378
4/25/20 11:20:01 AM,%RH,18.647
4/25/20 12:20:01 PM,%RH,20.018
4/25/20 1:20:01 PM,%RH,19.18
4/25/20 2:20:01 PM,%RH,22.271
4/25/20 3:20:01 PM,%RH,21.834
4/25/20 4:20:01 PM,%RH,30.908
4/25/20 5:20:01 PM,%RH,42.778
4/25/20 6:20:01 PM,%RH,55.57
4/25/20 7:20:01 PM,%RH,69.11
4/25/20 8:20:01 PM,%RH,84.623
4/25/20 9:20:01 PM,%RH,83.188
4/25/20 10:20:01 PM,%RH,85.15
4/25/20 11:20:01 PM,%RH,86.118
4/26/20 12:20:01 AM,%RH,91.035
4/26/20 1:20:01 AM,%RH,97.643
4/26/20 2:20:01 AM,%RH,98.386
4/26/20 3:20:01 AM,%RH,92.045
4/26/20 4:20:01 AM,%RH,98.551
4/26/20 5:20:01 AM,%RH,98.977
4/26/20 6:20:01 AM,%RH,95.691
4/26/20 7:20:01 AM,%RH,89.815
4/26/20 8:20:01 AM,%RH,46.708
4/26/20 9:20:01 AM,%RH,35.771
4/26/20 10:20:01 AM,%RH,22.654
4/26/20 11:20:01 AM,%RH,22.271
4/26/20 12:20:01 PM,%RH,18.821
4/26/20 1:20:01 PM,%RH,17.364
4/26/20 2:20:01 PM,%RH,22.326
4/26/20 3:20:01 PM,%RH,22.051
4/26/20 4:20:01 PM,%RH,30.109
4/26/20 5:20:01 PM,%RH,38.403
4/26/20 6:20:01 PM,%RH,52.683
4/26/20 7:20:01 PM,%RH,68.692
4/26/20 8:20:01 PM,%RH,85.911
4/26/20 9:20:01 PM,%RH,90.834
4/26/20 10:20:01 PM,%RH,95.604
4/26/20 11:20:01 PM,%RH,90.527
4/27/20 12:20:01 AM,%RH,97.704
4/27/20 1:20:01 AM,%RH,99.152
4/27/20 2:20:01 AM,%RH,98.671
4/27/20 3:20:01 AM,%RH,93.84
4/27/20 4:20:01 AM,%RH,93.776
4/27/20 5:20:01 AM,%RH,67.613
4/27/20 6:20:01 AM,%RH,77.408
4/27/20 7:20:01 AM,%RH,69.672
4/27/20 8:20:01 AM,%RH,44.67
4/27/20 9:20:01 AM,%RH,30.85
4/27/20 10:20:01 AM,%RH,24.44
4/27/20 11:20:01 AM,%RH,19.288
4/27/20 12:20:01 PM,%RH,19.704
4/27/20 1:20:01 PM,%RH,15.025
4/27/20 2:20:01 PM,%RH,14.291
4/27/20 3:20:01 PM,%RH,24.328
4/27/20 4:20:01 PM,%RH,19.276
4/27/20 5:20:01 PM,%RH,39.505
4/27/20 6:20:01 PM,%RH,57.378
4/27/20 7:20:01 PM,%RH,67.987
4/27/20 8:20:01 PM,%RH,47.063
4/27/20 9:20:01 PM,%RH,77.638
4/27/20 10:20:01 PM,%RH,85.964
4/27/20 11:20:01 PM,%RH,87.896
4/28/20 12:20:01 AM,%RH,87.76
4/28/20 1:20:01 AM,%RH,78.285
4/28/20 2:20:01 AM,%RH,84.97
4/28/20 3:20:01 AM,%RH,79.236
4/28/20 4:20:01 AM,%RH,83.919
4/28/20 5:20:01 AM,%RH,89.055
4/28/20 6:20:01 AM,%RH,92.544
4/28/20 7:20:01 AM,%RH,66.671
4/28/20 8:20:01 AM,%RH,38.238
4/28/20 9:20:01 AM,%RH,31.886
4/28/20 10:20:01 AM,%RH,22.326
4/28/20 11:20:01 AM,%RH,19.966
4/28/20 12:20:01 PM,%RH,22.986
4/28/20 1:20:01 PM,%RH,23.419
4/28/20 2:20:01 PM,%RH,24.356
4/28/20 3:20:01 PM,%RH,28.167
4/28/20 4:20:01 PM,%RH,36.811
4/28/20 5:20:01 PM,%RH,51.158
4/28/20 6:20:01 PM,%RH,69.417
4/28/20 7:20:01 PM,%RH,81.094
4/28/20 8:20:01 PM,%RH,94.319
4/28/20 9:20:01 PM,%RH,96.903
4/28/20 10:20:01 PM,%RH,98.122
4/28/20 11:20:01 PM,%RH,98.939
4/29/20 12:20:01 AM,%RH,99.828
4/29/20 1:20:01 AM,%RH,99.694
4/29/20 2:20:01 AM,%RH,99.42
4/29/20 3:20:01 AM,%RH,100.585
4/29/20 4:20:01 AM,%RH,100.941
4/29/20 5:20:01 AM,%RH,102.248
4/29/20 6:20:01 AM,%RH,101.306
4/29/20 7:20:01 AM,%RH,99.812
4/29/20 8:20:01 AM,%RH,45.368
4/29/20 9:20:01 AM,%RH,27.064
4/29/20 10:20:01 AM,%RH,26.888
4/29/20 11:20:01 AM,%RH,23.382
4/29/20 12:20:01 PM,%RH,24.185
4/29/20 1:20:01 PM,%RH,23.155
4/29/20 2:20:01 PM,%RH,31.505
4/29/20 3:20:01 PM,%RH,35.832
4/29/20 4:20:01 PM,%RH,44.529
4/29/20 5:20:01 PM,%RH,57.12
4/29/20 6:20:01 PM,%RH,74.996
4/29/20 7:20:01 PM,%RH,88.085
4/29/20 8:20:01 PM,%RH,93.804
4/29/20 9:20:01 PM,%RH,96.33
4/29/20 10:20:01 PM,%RH,98.122
4/29/20 11:20:01 PM,%RH,100.126
4/30/20 12:20:01 AM,%RH,99.166
4/30/20 1:20:01 AM,%RH,102.334
4/30/20 2:20:01 AM,%RH,100.291
4/30/20 3:20:01 AM,%RH,102.334
4/30/20 4:20:01 AM,%RH,100.604
4/30/20 5:20:01 AM,%RH,100.526
4/30/20 6:20:01 AM,%RH,101.161
4/30/20 7:20:01 AM,%RH,102.81
4/30/20 8:20:01 AM,%RH,73.182
4/30/20 9:20:01 AM,%RH,33.009
4/30/20 10:20:01 AM,%RH,25.426
4/30/20 11:20:01 AM,%RH,23.142
4/30/20 12:20:01 PM,%RH,18.362
4/30/20 1:20:01 PM,%RH,16.535
4/30/20 2:20:01 PM,%RH,15.709
4/30/20 3:20:01 PM,%RH,15.025
4/30/20 4:20:01 PM,%RH,16.669
4/30/20 5:20:01 PM,%RH,19.088
4/30/20 6:20:01 PM,%RH,24.795
4/30/20 7:20:01 PM,%RH,56.03
4/30/20 8:20:01 PM,%RH,80.987
4/30/20 9:20:01 PM,%RH,84.176
4/30/20 10:20:01 PM,%RH,87.178
4/30/20 11:20:01 PM,%RH,84.176
5/1/20 12:20:01 AM,%RH,45.053
5/1/20 1:20:01 AM,%RH,41.14
5/1/20 2:20:01 AM,%RH,50.183
5/1/20 3:20:01 AM,%RH,39.782
5/1/20 4:20:01 AM,%RH,33.097
5/1/20 5:20:01 AM,%RH,44.231
5/1/20 6:20:01 AM,%RH,38.177
5/1/20 7:20:01 AM,%RH,55.827
5/1/20 8:20:01 AM,%RH,22.545
5/1/20 9:20:01 AM,%RH,15.446
5/1/20 10:20:01 AM,%RH,15.225
5/1/20 11:20:01 AM,%RH,14.645
5/1/20 12:20:01 PM,%RH,16.584
5/1/20 1:20:01 PM,%RH,15.443
5/1/20 2:20:01 PM,%RH,13.691
5/1/20 3:20:01 PM,%RH,18.617
5/1/20 4:20:01 PM,%RH,21.511
5/1/20 5:20:01 PM,%RH,40.109
5/1/20 6:20:01 PM,%RH,51.745
5/1/20 7:20:01 PM,%RH,69.067
5/1/20 8:20:01 PM,%RH,78.5
5/1/20 9:20:01 PM,%RH,84.176
5/1/20 10:20:01 PM,%RH,90.194
5/1/20 11:20:01 PM,%RH,87.054
5/2/20 12:20:01 AM,%RH,83.919
5/2/20 1:20:01 AM,%RH,82.212
5/2/20 2:20:01 AM,%RH,79.531
5/2/20 3:20:01 AM,%RH,82.212
5/2/20 4:20:01 AM,%RH,64.916
5/2/20 5:20:01 AM,%RH,43.027
5/2/20 6:20:01 AM,%RH,70.583
5/2/20 7:20:01 AM,%RH,69.047
5/2/20 8:20:01 AM,%RH,44.023
5/2/20 9:20:01 AM,%RH,25.671
5/2/20 10:20:01 AM,%RH,17.892
5/2/20 11:20:01 AM,%RH,19.185
5/2/20 12:20:01 PM,%RH,17.067
5/2/20 1:20:01 PM,%RH,14.836
5/2/20 2:20:01 PM,%RH,23.197
5/2/20 3:20:01 PM,%RH,27.006
5/2/20 4:20:01 PM,%RH,29.996
5/2/20 5:20:01 PM,%RH,45.753
5/2/20 6:20:01 PM,%RH,59.137
5/2/20 7:20:01 PM,%RH,73.7
5/2/20 8:20:01 PM,%RH,87.006
5/2/20 9:20:01 PM,%RH,96.306
5/2/20 10:20:01 PM,%RH,97.704
5/2/20 11:20:01 PM,%RH,98.442
5/3/20 12:20:01 AM,%RH,99.352
5/3/20 1:20:01 AM,%RH,100.358
5/3/20 2:20:01 AM,%RH,95.324
5/3/20 3:20:01 AM,%RH,86.861
5/3/20 4:20:01 AM,%RH,85.891
5/3/20 5:20:01 AM,%RH,84.317
5/3/20 6:20:01 AM,%RH,88.856
5/3/20 7:20:01 AM,%RH,70.836
5/3/20 8:20:01 AM,%RH,42.073
5/3/20 9:20:01 AM,%RH,32.717
5/3/20 10:20:01 AM,%RH,23.253
5/3/20 11:20:01 AM,%RH,19.956
5/3/20 12:20:01 PM,%RH,22.764
5/3/20 1:20:01 PM,%RH,21.997
5/3/20 2:20:01 PM,%RH,25.311
5/3/20 3:20:01 PM,%RH,28.334
5/3/20 4:20:01 PM,%RH,34.627
5/3/20 5:20:01 PM,%RH,45.803
5/3/20 6:20:01 PM,%RH,64.528
5/3/20 7:20:01 PM,%RH,73.164
5/3/20 8:20:01 PM,%RH,89.145
5/3/20 9:20:01 PM,%RH,80.438
5/3/20 10:20:01 PM,%RH,61.319
5/3/20 11:20:01 PM,%RH,58.938
5/4/20 12:20:01 AM,%RH,48.944
5/4/20 1:20:01 AM,%RH,62.725
5/4/20 2:20:01 AM,%RH,77.541
5/4/20 3:20:01 AM,%RH,88.284
5/4/20 4:20:01 AM,%RH,92.223
5/4/20 5:20:01 AM,%RH,47.61
5/4/20 6:20:01 AM,%RH,59.998
5/4/20 7:20:01 AM,%RH,41.307
5/4/20 8:20:01 AM,%RH,20.497
5/4/20 9:20:01 AM,%RH,14.058
5/4/20 10:20:01 AM,%RH,14.383
5/4/20 11:20:01 AM,%RH,12.73
5/4/20 12:20:01 PM,%RH,14.291
5/4/20 1:20:01 PM,%RH,13.126
5/4/20 2:20:01 PM,%RH,14.291
5/4/20 3:20:01 PM,%RH,14.836
5/4/20 4:20:01 PM,%RH,17.388
5/4/20 5:20:01 PM,%RH,22.06
5/4/20 6:20:01 PM,%RH,26.971
5/4/20 7:20:01 PM,%RH,24.848
5/4/20 8:20:01 PM,%RH,30.817
5/4/20 9:20:01 PM,%RH,27.985
5/4/20 10:20:01 PM,%RH,27.298
5/4/20 11:20:01 PM,%RH,29.058
5/5/20 12:20:01 AM,%RH,45.497
5/5/20 1:20:01 AM,%RH,46.542
5/5/20 2:20:01 AM,%RH,63.147
5/5/20 3:20:01 AM,%RH,62.034
5/5/20 4:20:01 AM,%RH,45.983
5/5/20 5:20:01 AM,%RH,39.674
5/5/20 6:20:01 AM,%RH,56.802
5/5/20 7:20:01 AM,%RH,30.037
5/5/20 8:20:01 AM,%RH,26.975
5/5/20 9:20:01 AM,%RH,17.59
5/5/20 10:20:01 AM,%RH,13.825
